ez	josserand	ipa	vts	common
a	a	a	a	a
B	b̵	β	b	b
D	d̵	ð	d	d
DY	d̵ʸ	ðʲ	dy	dy
e	e	e	e	e
f	f	f	f	f
h	h	h	h	h
hW	hʷ	hʷ	hw	hw
i	i	i	i	i
k	k	k	k	k
kW	kʷ	kʷ	kw	kw
kY	kʸ	kʸ	ky	ky
l	l	l	l	l
m	m	m	m	m
n	n	n	n	n
o	o	o	o	o
p	p	p	p	p
r	r	ɾ	r	r
R	r̃	r	rr	rr
s	s	s	s	s
sY	sʸ	sʲ	sy	sy
t	t	t	t	t
tY	tʸ	tʲ	ti	ti
u	u	u	u	u
v	v	v	v	v
w	w	w	w	w
x	x	x	x	x
y	y	j	j	j
z	z	z	z	z
ts	¢	t͡s	ts	tz
ñ	ñ	ɲ	ñ	ñ
ü	ü	y	ü	ü
C	č	t͡ʃ	ty	ch
N	ŋ	ŋ	ŋ	ng
S	š	ʃ	x	sh
Z	ž	ʒ	y	zh
G	ǥ	ɣ	g	g
1	ɨ	ɨ	ɨ	ɨ
?	ʔ	ʔ	’	’
T	θ	θ	θ	th
P	ᵽ	ɸ	ɸ	ph
Mb	ᵐb	ᵐb	mb	mb
Nd	ⁿd	ⁿd	nd	nd
NdY	ⁿdʸ	ⁿdʲ	ndy	ndy
Ng	ⁿg	ⁿg	ng	ng
NgW	ⁿgʷ	ⁿgʷ	ngw	ngw
Nz	ⁿz	ⁿz	nz	nz
SR	ṣ̌	ʂ̌	ʂ̌	shr
NJ	ⁿǰ	ⁿd͡ʒ	ndy	ndy

